time,deviceMode,vBat,ec,sal,tds,slowDallasTemp,thermTemp,fastBRTemp,slowBRPres,slowBRTemp,slowBRDepth
2025-07-30T13:41:12,0,3.88,999.00,999.00,999.00,85.00,23.68,999.00,999.00,999.00,999.00
2025-07-30T13:41:12,0,3.93,999.00,999.00,999.00,85.00,23.69,999.00,999.00,999.00,999.00
2025-07-30T13:41:12,0,3.82,999.00,999.00,999.00,85.00,23.73,999.00,999.00,999.00,999.00
2025-07-30T13:41:12,0,3.86,999.00,999.00,999.00,85.00,23.68,999.00,999.00,999.00,999.00
2025-07-30T13:41:13,0,3.91,999.00,999.00,999.00,85.00,23.67,999.00,999.00,999.00,999.00
2025-07-30T13:41:13,0,3.80,999.00,999.00,999.00,85.00,23.74,999.00,999.00,999.00,999.00
2025-07-30T13:41:13,0,3.84,999.00,999.00,999.00,22.94,23.68,999.00,999.00,999.00,999.00
2025-07-30T13:41:13,0,3.89,999.00,999.00,999.00,22.94,23.77,999.00,999.00,999.00,999.00
2025-07-30T13:41:13,0,3.87,999.00,999.00,999.00,22.94,23.67,999.00,999.00,999.00,999.00
2025-07-30T13:41:13,0,3.92,999.00,999.00,999.00,22.94,23.75,999.00,999.00,999.00,999.00
2025-07-30T13:41:13,0,3.81,999.00,999.00,999.00,22.94,23.67,999.00,999.00,999.00,999.00
2025-07-30T13:41:13,0,3.86,999.00,999.00,999.00,22.94,23.70,999.00,999.00,999.00,999.00
2025-07-30T13:41:13,0,3.91,999.00,999.00,999.00,22.94,23.65,999.00,999.00,999.00,999.00
2025-07-30T13:41:14,0,3.80,999.00,999.00,999.00,22.94,23.70,999.00,999.00,999.00,999.00
2025-07-30T13:41:14,0,3.84,999.00,999.00,999.00,22.94,23.75,999.00,999.00,999.00,999.00
2025-07-30T13:41:14,0,3.88,999.00,999.00,999.00,22.94,23.71,999.00,999.00,999.00,999.00
2025-07-30T13:41:14,0,3.79,999.00,999.00,999.00,22.94,23.75,999.00,999.00,999.00,999.00
2025-07-30T13:41:14,0,3.83,999.00,999.00,999.00,22.94,23.70,999.00,999.00,999.00,999.00
2025-07-30T13:41:14,0,3.88,999.00,999.00,999.00,22.94,23.68,999.00,999.00,999.00,999.00
2025-07-30T13:41:14,0,3.93,999.00,999.00,999.00,22.94,23.71,999.00,999.00,999.00,999.00
2025-07-30T13:41:14,0,3.81,999.00,999.00,999.00,22.94,23.70,999.00,999.00,999.00,999.00
2025-07-30T13:41:14,0,3.86,999.00,999.00,999.00,22.94,23.73,999.00,999.00,999.00,999.00
2025-07-30T13:41:15,0,3.91,999.00,999.00,999.00,22.94,23.64,999.00,999.00,999.00,999.00
2025-07-30T13:41:15,0,3.80,999.00,999.00,999.00,22.94,23.64,999.00,999.00,999.00,999.00
2025-07-30T13:41:15,0,3.84,999.00,999.00,999.00,22.94,23.62,999.00,999.00,999.00,999.00
2025-07-30T13:41:15,0,3.88,999.00,999.00,999.00,22.94,23.77,999.00,999.00,999.00,999.00
2025-07-30T13:41:15,0,3.94,999.00,999.00,999.00,22.94,23.71,999.00,999.00,999.00,999.00
2025-07-30T13:41:15,0,3.82,999.00,999.00,999.00,22.94,23.68,999.00,999.00,999.00,999.00
2025-07-30T13:41:15,0,3.86,999.00,999.00,999.00,22.94,23.79,999.00,999.00,999.00,999.00
2025-07-30T13:41:15,0,3.92,999.00,999.00,999.00,22.94,23.87,999.00,999.00,999.00,999.00
